timestamp,determinand,unit,value,tank,tank_num
2023-04-03 18:00:00,pr,mBar,1014.9,CON.AVG,1.0
2023-04-03 19:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-03 19:00:00,ph,pH,7.39,CON.AVG,1.0
2023-04-03 20:00:00,pr,mBar,1014.27,CON.AVG,1.0
2023-04-03 21:00:00,pr,mBar,1012.85,CON.AVG,1.0
2023-04-03 22:00:00,ph,pH,7.35,CON.AVG,1.0
2023-04-03 23:00:00,pr,mBar,1012.4,CON.AVG,1.0
2023-04-04 00:00:00,pr,mBar,1012.0,CON.AVG,1.0
2023-04-04 01:00:00,ph,pH,7.37,CON.AVG,1.0
2023-04-04 02:00:00,pr,mBar,1012.4,CON.AVG,1.0
2023-04-04 03:00:00,pr,mBar,1012.0,CON.AVG,1.0
2023-04-04 04:00:00,ph,pH,7.41,CON.AVG,1.0
2023-04-04 05:00:00,pr,mBar,1012.4,CON.AVG,1.0
2023-04-04 06:00:00,pr,mBar,1012.0,CON.AVG,1.0
2023-04-04 07:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-04 07:00:00,ph,pH,7.42,CON.AVG,1.0
2023-04-04 08:00:00,pr,mBar,1011.7,CON.AVG,1.0
2023-04-04 09:00:00,pr,mBar,1010.52,CON.AVG,1.0
2023-04-04 10:00:00,ph,pH,7.39,CON.AVG,1.0
2023-04-04 11:00:00,pr,mBar,1010.3,CON.AVG,1.0
2023-04-04 12:00:00,pr,mBar,1009.9,CON.AVG,1.0
2023-04-04 14:00:00,ph,pH,7.4,CON.AVG,1.0
2023-04-04 14:00:00,tl,C,9.17,CON.AVG,1.0
2023-04-04 14:00:00,ts,C,9.4,CON.AVG,1.0
2023-04-04 17:00:00,ph,pH,7.39,CON.AVG,1.0
2023-04-04 17:00:00,tl,C,9.46,CON.AVG,1.0
2023-04-04 17:00:00,ts,C,9.82,CON.AVG,1.0
2023-04-04 19:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-04 20:00:00,ph,pH,7.36,CON.AVG,1.0
2023-04-04 20:00:00,tl,C,9.5,CON.AVG,1.0
2023-04-04 20:00:00,ts,C,9.88,CON.AVG,1.0
2023-04-04 21:00:00,pr,mBar,1005.94,CON.AVG,1.0
2023-04-04 23:00:00,ph,pH,7.38,CON.AVG,1.0
2023-04-04 23:00:00,tl,C,9.03,CON.AVG,1.0
2023-04-04 23:00:00,ts,C,9.5,CON.AVG,1.0
2023-04-05 00:00:00,pr,mBar,1004.97,CON.AVG,1.0
